sequence,filename,kernel_length,kernel_angle,blend,psnr,ssim,time_ms
GOPR0372_07_01,000630.png,11,75.0,0.2,27.87233985284256,0.815748862357372,3790.7336999996915
GOPR0372_07_01,000631.png,11,75.0,0.2,29.189723025281825,0.8524532297005437,3483.5983999983
GOPR0372_07_01,000632.png,11,75.0,0.2,27.085455181683923,0.7945171093062552,3532.1304999997665
GOPR0372_07_01,000633.png,11,75.0,0.2,25.892057398981635,0.7626726865030576,3421.634599999379
GOPR0372_07_01,000634.png,11,75.0,0.2,25.674812532742337,0.7521021256470006,3731.7321000009542
GOPR0372_07_01,000635.png,11,75.0,0.2,26.553471599997017,0.7624250603307599,3796.429599999101
GOPR0372_07_01,000636.png,11,75.0,0.2,25.12852563360822,0.7353830599751493,3654.5869000001403
GOPR0372_07_01,000637.png,11,75.0,0.2,25.221911748411152,0.7814084242294589,3724.527299997135
GOPR0372_07_01,000638.png,11,75.0,0.2,26.17326796314115,0.7998029398843997,3721.98600000047
GOPR0372_07_01,000639.png,11,75.0,0.2,25.04815019218862,0.7527540940376731,3640.213999999105
GOPR0372_07_01,000640.png,11,75.0,0.2,26.12284230857332,0.7784654524441956,3657.3070000013104
GOPR0372_07_01,000641.png,11,75.0,0.2,26.941275815856915,0.7896194654150666,3749.8926000007486
GOPR0372_07_01,000642.png,11,75.0,0.2,25.06287402549789,0.7423904137445417,3726.0860999995202
GOPR0372_07_01,000643.png,11,75.0,0.2,25.207294917257936,0.7415772835555723,3728.481999998621
GOPR0372_07_01,000644.png,11,75.0,0.2,26.740509420476148,0.7770629279135837,3717.9098000015074
GOPR0372_07_01,000645.png,11,75.0,0.2,26.30506253113676,0.7403545861316864,3528.828700000304
GOPR0372_07_01,000646.png,11,75.0,0.2,27.748912744487917,0.8015531202514484,3774.813099997118
GOPR0372_07_01,000647.png,11,75.0,0.2,28.40056969602571,0.8017980077330811,3654.8498999982257
GOPR0372_07_01,000648.png,11,75.0,0.2,26.39675854744578,0.7240883244711401,3816.7675000004238
GOPR0372_07_01,000649.png,11,75.0,0.2,27.968735251603807,0.7734469297319717,3727.0989999997255
GOPR0372_07_01,000650.png,11,75.0,0.2,27.007952389208263,0.7459392139347675,3717.419200002041
GOPR0372_07_01,000651.png,11,75.0,0.2,25.433249859119265,0.766183649400447,3711.4301000001433
GOPR0372_07_01,000652.png,11,75.0,0.2,24.230675346567597,0.8073710119263957,3738.9102000015555
GOPR0372_07_01,000653.png,11,75.0,0.2,22.855598190804187,0.7920021920476877,3873.474300002272
GOPR0372_07_01,000654.png,11,75.0,0.2,23.181227605790152,0.7793934411588812,3737.127899999905
GOPR0372_07_01,000655.png,11,75.0,0.2,26.980661002498948,0.8582448603284273,3810.5813000001945
GOPR0372_07_01,000656.png,11,75.0,0.2,23.826469201285203,0.7388952237180836,3701.7463999982283
GOPR0372_07_01,000657.png,11,75.0,0.2,24.66821822925391,0.7644924544692416,3822.212600000057
GOPR0372_07_01,000658.png,11,75.0,0.2,25.030539446607673,0.7738355710243215,3863.7101000022085
GOPR0372_07_01,000659.png,11,75.0,0.2,22.91439079956165,0.7450725101052784,3743.215300000884
GOPR0372_07_01,000660.png,11,75.0,0.2,23.318742906646463,0.757381965767677,3846.019599997817
GOPR0372_07_01,000661.png,11,75.0,0.2,23.711170178817103,0.7683051534678995,3846.857900000032
GOPR0372_07_01,000662.png,11,75.0,0.2,23.047985959361853,0.7584040417765413,3822.5351000000956
GOPR0372_07_01,000663.png,11,75.0,0.2,24.41188266897195,0.7849827422956746,3876.4761999991606
GOPR0372_07_01,000664.png,11,75.0,0.2,24.35113408412459,0.7825972405570765,3519.334100001288
GOPR0372_07_01,000665.png,11,75.0,0.2,23.22872438040463,0.7483529674916382,3512.5841999979457
GOPR0372_07_01,000666.png,11,75.0,0.2,23.964063516672184,0.7661170003812862,3225.412399999186
GOPR0372_07_01,000667.png,11,75.0,0.2,26.200236102149695,0.8137046408815142,3035.5608999998367
GOPR0372_07_01,000668.png,11,75.0,0.2,25.930942606012817,0.8018856784581537,3579.368099999556
GOPR0372_07_01,000669.png,11,75.0,0.2,24.304637725226243,0.7523357346739412,3719.5417000002635
GOPR0372_07_01,000670.png,11,75.0,0.2,26.660521262427366,0.8170585611376248,3645.086299999093
GOPR0372_07_01,000671.png,11,75.0,0.2,24.665097056096045,0.7615771688341769,3789.268799999263
GOPR0372_07_01,000672.png,11,75.0,0.2,27.140952975682318,0.852220831449312,3487.9304000023694
GOPR0372_07_01,000673.png,11,75.0,0.2,23.845495767025753,0.7554781012700205,3723.616999999649
GOPR0372_07_01,000674.png,11,75.0,0.2,26.87560943490793,0.8378407447849464,3729.8436000019137
GOPR0372_07_01,000675.png,11,75.0,0.2,26.480657230790165,0.7912034321287296,3752.971099998831
GOPR0374_11_00,000001.png,11,15.0,0.2,20.433995305502126,0.6228331761449392,3811.8289000012737
GOPR0374_11_00,000002.png,11,15.0,0.2,22.23133698036372,0.7317696651414153,3736.9094000023324
GOPR0374_11_00,000003.png,11,15.0,0.2,26.2573575311242,0.8383624394120273,3686.3119000008737
GOPR0374_11_00,000004.png,11,15.0,0.2,21.932331203960995,0.7159419278944993,3664.160299998912
GOPR0374_11_00,000005.png,11,15.0,0.2,23.65367351323108,0.7432083616797645,3715.872100001434
GOPR0374_11_00,000006.png,11,15.0,0.2,24.675225823183503,0.7518616647709858,3801.8694999991567
GOPR0374_11_00,000007.png,11,15.0,0.2,23.73805712792962,0.7219051981238657,3675.6382000021404
GOPR0374_11_00,000008.png,11,15.0,0.2,26.697045659386266,0.8161300105520336,3738.381600000139
GOPR0374_11_00,000009.png,11,15.0,0.2,25.124188832802243,0.7442068189490326,3703.608100000565
GOPR0374_11_00,000010.png,11,15.0,0.2,24.92845311894291,0.7477348732442213,3772.1966999997676
GOPR0374_11_00,000011.png,11,15.0,0.2,23.488983077751875,0.7371512285960478,3654.8422999985632
GOPR0374_11_00,000012.png,11,15.0,0.2,22.859228994885083,0.7469370763560234,3765.553599998384
GOPR0374_11_00,000013.png,11,15.0,0.2,22.688904665457237,0.7697293763013997,3585.578700000042
GOPR0374_11_00,000014.png,11,15.0,0.2,24.132572620770667,0.7568409359800906,3692.299300000741
GOPR0374_11_00,000015.png,11,15.0,0.2,24.437759013134432,0.6996966794875896,3769.621299998107
