sequence,filename,blend,confidence,psnr,ssim,time_ms
GOPR0372_07_01,000638.png,0.9,1.0,27.06709033885422,0.8405697419450876,676.400599999397
GOPR0372_07_01,000639.png,0.9,1.0,26.351279935778997,0.8071915638546008,683.6215999992419
GOPR0372_07_01,000640.png,0.9,1.0,27.130141911212192,0.8290085432586021,694.9810999994952
GOPR0372_07_01,000641.png,0.9,1.0,27.427490732517846,0.8398822684481907,732.2038000002067
GOPR0372_07_01,000642.png,0.9,1.0,26.326262826895395,0.8008015312936467,774.1667000009329
GOPR0372_07_01,000643.png,0.9,1.0,26.247741394471632,0.8002093119135719,672.363800000312
GOPR0372_07_01,000644.png,0.9,1.0,26.663116438841016,0.8229518073629501,671.6365000011137
GOPR0372_07_01,000645.png,0.9,1.0,26.5690049437955,0.7969731869453517,678.6850999997114
GOPR0372_07_01,000646.png,0.9,1.0,27.788034296888824,0.866668316661471,672.2446000003401
GOPR0372_07_01,000647.png,0.9,1.0,27.8729839115323,0.8696698443265399,688.4211000015057
GOPR0372_07_01,000648.png,0.9,1.0,26.462145994199332,0.7780955374937203,683.5889000012685
GOPR0372_07_01,000649.png,0.9,1.0,27.50669132245379,0.8321912334273267,690.5746000011277
GOPR0372_07_01,000650.png,0.9,1.0,26.75445595387387,0.7693774223276497,682.0789000012155
GOPR0372_07_01,000651.png,0.9,1.0,25.335105664170246,0.7904196009295207,698.743499999182
GOPR0372_07_01,000652.png,0.9,1.0,24.076903163959045,0.8219951398279076,742.0530999988841
GOPR0372_07_01,000653.png,0.9,1.0,23.700829552743414,0.8184108645598678,688.1119999998191
GOPR0372_07_01,000654.png,0.9,1.0,24.412100154481372,0.8238868943179103,684.4674000003579
GOPR0372_07_01,000655.png,0.9,1.0,26.860445412918736,0.8887310620565598,688.8793999987683
GOPR0372_07_01,000656.png,0.9,1.0,25.108347546778255,0.8023065363839469,693.9953999990394
GOPR0372_07_01,000657.png,0.9,1.0,25.312023260555915,0.8190610967636277,700.0931999991735
GOPR0372_07_01,000658.png,0.9,1.0,25.863565191342165,0.8206285519088107,695.2556000014738
GOPR0372_07_01,000659.png,0.9,1.0,24.60963609057597,0.802990805739645,701.0716999993747
GOPR0372_07_01,000660.png,0.9,1.0,24.905760611657644,0.8164687660096804,708.7117000010039
GOPR0372_07_01,000661.png,0.9,1.0,24.878261248937097,0.8173898228220895,730.2033999985724
GOPR0372_07_01,000662.png,0.9,1.0,24.39643681350713,0.8103069647222284,749.764199999845
GOPR0372_07_01,000663.png,0.9,1.0,25.082999343695988,0.8317307276298771,709.3468999992183
GOPR0372_07_01,000664.png,0.9,1.0,25.143974929518013,0.8267464558021356,688.4072000011656
GOPR0372_07_01,000665.png,0.9,1.0,24.66990332831557,0.8072846244661278,673.8045000001875
GOPR0372_07_01,000666.png,0.9,1.0,25.514092229571975,0.8289805195646828,697.9468999998062
GOPR0372_07_01,000667.png,0.9,1.0,26.53248949141869,0.8499028921047334,685.3661000004649
GOPR0372_07_01,000668.png,0.9,1.0,26.557217913371957,0.8568422388293339,696.7525000000023
GOPR0372_07_01,000669.png,0.9,1.0,25.431007837683932,0.8079325458689534,687.1888999994553
GOPR0372_07_01,000670.png,0.9,1.0,27.358430460675535,0.8754827872155738,773.2300999996369
GOPR0372_07_01,000671.png,0.9,1.0,26.039137864839397,0.8110581865668297,709.5042999990255
GOPR0372_07_01,000672.png,0.9,1.0,26.868804512637162,0.8938849773079656,743.4314000001905
GOPR0372_07_01,000673.png,0.9,1.0,25.67488119744445,0.8071212605847954,681.9307999994635
GOPR0372_07_01,000674.png,0.9,1.0,27.372995480495412,0.8794082045667467,680.4843000008987
GOPR0372_07_01,000675.png,0.9,1.0,26.980359499412817,0.8375806412666406,676.008999998885
GOPR0374_11_00,000001.png,0.9,1.0,20.763228373452165,0.6412281065382834,681.0204000012163
GOPR0374_11_00,000002.png,0.9,1.0,21.9398810412521,0.7283779187148657,674.9561000015092
GOPR0374_11_00,000003.png,0.9,1.0,26.070155760709234,0.8666511899135613,670.5444999988686
GOPR0374_11_00,000004.png,0.9,1.0,22.166871284156752,0.7326375928517678,679.7258999995393
